,Name,Location,Census Division,Region,Type,Kind,Summary
422,Petawawa Heritage Village,Petawawa,Renfrew County,Eastern,Museum,Living,mid-19th century rural Ontario village
423,Peterborough Lift Lock,Peterborough,Peterborough County,Central,Museum,Transportation,Construction and workings of the Trent Canal
424,Peterborough Museum & Archives,Peterborough,Peterborough County,Central,Museum,Local History,Focus is local history to the Peterborough area
425,Petroglyphs Provincial Park,Woodview,Peterborough County,Central,Museum,First Nations,History and spiritual significance of the park's petroglyphs
426,Petrolia Discovery,Petrolia,Lambton County,Southwestern,Museum,Industry,early days of the boom of the petroleum industry
427,Pickering Museum Village,Pickering,Durham Region,Central,Museum,Open air,19th century village
428,Pinhey's Point Historic Site,Dunrobin,Ottawa,Eastern,Museum,Historic house,19th century estate home and park
429,Polar Bear Habitat and Heritage Village,Cochrane,Cochrane District,Northeastern,Museum,Open air,"includes the Hunta Museum with period business displays and antiques, the Cochrane Classic Riders Snowmobile Museum, a blacksmith shop, doctor's office, farm house, general store, service station, schoolhouse, farm implement dealer and more"
430,Port Burwell Marine Museum and Historic Lighthouse,Port Burwell,Elgin County,Southwestern,Museum,Maritime,"Lighthouse, area maritime and shipbuilding history"
431,Port Colborne Historical & Marine Museum,Port Colborne,Niagara Region,Golden Horseshoe,Museum,Open air,"includes historic houses, blacksmith shop, a lighthouse with maritime exhibits, historic vehicles, two mid-19th century log houses"
432,Port Dover Harbour Museum,Port Dover,Norfolk County,Southwestern,Museum,Maritime,"local fishing industry, shipping, sailing, shipwrecks and maritime heritage"
433,Presqu'ile Provincial Park,Brighton,Northumberland,Central,Museum,Maritime,Includes the Lighthouse Interpretive Centre and a nature center
434,Prince Township Museum,Prince,Algoma District,Northeastern,Museum,Local history,Local history
435,Princess of Wales' Own Regiment Museum,Kingston,Frontenac County,Eastern,Museum,Military,"history and artifacts of The Princess of Wales' Own Regiment, located in the armoury"
436,Princeton District Museum,Princeton,Oxford County,Southwestern,Museum,Local history,local history and art exhibits
437,Proctor House Museum,Brighton,Northumberland,Central,Museum,Historic house,Historic house
438,Pump House Steam Museum,Kingston,Frontenac County,Eastern,Museum,Technology,"former water pumping station, exhibits on engines, railroads, steam launch boat, science"
439,R. Tait McKenzie Memorial Museum,Mississippi Mills,Lanark County,Eastern,Museum,Art,"Located in the Mill of Kintail Conservation Area, life and works by sculptor R. Tait McKenzie"
440,"Railcar Museum (Moosonee, Ontario)",Moosonee,Cochrane District,Northeastern,Museum,History,History
441,Rails End Gallery & Arts Centre,Haliburton,Haliburton County,Central,Museum,Art,Art
442,Railway Museum of Eastern Ontario,Smiths Falls,Lanark County,Eastern,Museum,Railway,"Historic railway station with railroad locomotives, cars, artifacts and memorabilia"
443,Rainy River District Women's Institute Museum,Emo,Rainy River District,Northwestern,Museum,Local history,local history and pioneer life
444,Rainy River Railroad Heritage Museum,Rainy River,Rainy River District,Northwestern,Museum,Railway,"exhibits displayed inside a restored railway passenger car, also features a caboose, restored steam engine and local history exhibits"
445,Raisin River Heritage Centre,St. Andrews,"Stormont, Dundas and Glengarry",Eastern,Museum,Local history,operated by the Cornwall Township Historical Society
446,Rayside-Balfour Museum,Azilda,Greater Sudbury,Northeastern,Museum,Local history,"Operated by Greater Sudbury Heritage Museums, local history, agriculture, culture"
447,Red Lake Regional Heritage Centre,Red Lake,Kenora District,Northwestern,Museum,Local history,"themes include Aboriginal history, gold mining, fur trade, immigration, art exhibits"
448,Reuben R. Sallows Gallery,Goderich,Huron,Southwestern,Museum,Art,changing exhibits of early 20th century photographs
449,Richmond Hill Heritage Centre,Richmond Hill,York Region,Central,Museum,Local history,Exhibits in an 1840s period cottage
450,Rideau Canal Visitor Centre,Smiths Falls,Lanark County,Eastern,Museum,Transportation,canal history and heritage
451,Rideau District Museum,Westport,Leeds and Grenville,Eastern,Museum,Local history,Local history
452,Rideau Hall,Ottawa,Ottawa,Eastern,Museum,Historic house,Tours of the official residence of the Governor General of Canada
453,Ridge House Museum,Ridgetown,Chatham-Kent,Southwestern,Museum,Historic house,1875 period historic house
454,Ripley's Believe It or Not!,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Amusement,Amusement
455,RiverBrink Art Museum,Queenston,Niagara Region,Golden Horseshoe,Museum,Art,"Historic house with 18th- and 19th-century Canadian paintings, sculpture and decorative art"
456,Riverview Miniature Village,Peterborough,Peterborough County,Central,Museum,Commodity,display of miniature buildings of Peterborough and the Kawartha area
457,Robert Langen Art Gallery,Waterloo,Waterloo Region,Golden Horseshoe,Museum,Art,"operated by the Wilfrid Laurier University, focus is contemporary Canadian art"
458,Robert McLaughlin Gallery,Oshawa,Durham Region,Central,Museum,Art,Focus is modern and contemporary Canadian art
459,Rock Legends Wax Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Wax,Wax
460,Rodman Hall Art Centre,St. Catharines,Niagara Region,Golden Horseshoe,Museum,Art,part of Brock University
461,Ron Morel Memorial Museum,Kapuskasing,Cochrane District,Northeastern,Museum,Railroad,"includes a steam locomotive, two passenger cars and a caboose, railroad artifacts and model railroad display, also local history exhibits"
462,Ronathahon:ni Cultural Centre,Akwesasne,"Stormont, Dundas and Glengarry",Eastern,Museum,First Nations,"formerly known as North American Traveling College, culture and history of the Mohawk Nation"
463,Rose House Museum,Waupoos,Prince Edward County,Central,Museum,Historic house,early 19th-century house with furnishings from 5 generations
464,Ross Museum,Whitewater Region,Renfrew County,Eastern,Museum,History,"includes period room and business displays, household items, farming tools, logging equipment"
465,Rotunda Gallery,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Art,municipal art gallery located in Kitchener City Hall
466,Royal Botanical Gardens,Burlington,Halton Region,Golden Horseshoe,Museum,Natural history,"Features exhibits about plants, nature and science"
467,Royal Canadian Legion Branch 72 Museum,Pembroke,Renfrew County,Eastern,Museum,Military,"open by request and for special events, local branch of the Royal Canadian Legion"
468,Royal Canadian Regiment Museum,London,Middlesex County,Southwestern,Museum,Military,Regimental history and artifacts
469,Royal Hamilton Light Infantry Heritage Museum,Hamilton,Hamilton,Golden Horseshoe,Museum,Military,"Regimental history, open by appointment"
470,Royal Military College of Canada Museum,Kingston,Frontenac County,Eastern,Museum,Military,"Located in Fort Frederick, history of the college and the naval history of the site"
471,Rydal Bank Community Hall and Church,Plummer Additional,Algoma District,Northeastern,Museum,Local history,Local history
472,Ruthven Park National Historic Site,Cayuga,Haldimand County,Golden Horseshoe,Museum,Historic house,19th-century mansion estate
473,Sainte-Marie among the Hurons,Midland,Simcoe County,Central,Museum,Living,Recreated 17th-century French Jesuit mission headquarters and Wendat Huron inhabitants
474,Sarah Jane Williams Heritage Centre,Bowmanville,Durham Region,Central,Museum,Local history,"operated by the Clarington Museums, features exhibits about Dominion Organ and Piano Company, a large doll and toy collection, and changing history exhibits"
475,Sault Ste. Marie Museum,Sault Ste. Marie,Algoma District,Northeastern,Museum,Local history,Local history
476,Sault Ste. Marie Canal National Historic Site,Sault Ste. Marie,Algoma District,Northeastern,Museum,Transport,"Visitor center, guided tours of the canal locks"
477,School House Museum,Deep River,Renfrew County,Eastern,Museum,Local history,history of Laurentian Hills
478,School On Wheels Railcar Museum,Clinton,Huron,Southwestern,Museum,Education,historic school car that traveled the region to bring education to children
479,Science North,Sudbury,Greater Sudbury,Northeastern,Museum,Science,Science
480,Scugog Shores Heritage Center and Archives,Port Perry,Durham Region,Central,Museum,Multiple,"local First Nations history and local history, changing exhibits of local history, art, culture"
481,Scugog Shores Museum,Port Perry,Durham Region,Central,Museum,Open air,"mid-to-late 19th century village, Ojibway Heritage Interpretive Lands about the natural and cultural history of the Scugog Watershed prior to European settlement,"
482,Secrets of Radar Museum,London,Middlesex County,Southwestern,Museum,Military,"Story of the more than 6,000 Canadian World War II veterans who were recruited into a top-secret project during World War II involving radar"
483,Serbian Centre of Windsor,Windsor,Essex County,Southwestern,Museum,Ethnic,display of Serbian culture and history
484,Sharon Temple National Historic Site,Sharon,York Region,Golden Horseshoe,Museum,Open air,"Story of the Children of Peace and the early settlers of East Gwillimbury; features the Sharon Temple (1825-1832), the Doan House (1819), David Willson's Study (1829), an 1850s Log House and other buildings on 4.5 acres of park land; operated by the Sharon Temple Museum Society"
485,Sheffield Park Black History & Cultural Museum,Clarksburg,Grey County,Southwestern,Museum,History,early Black pioneer families
486,Shenkman Arts Centre,Ottawa,Ottawa,Eastern,Museum,Art,"includes the Trinity Art Gallery with works of local and regional artists, the Dust Evans Gallery of the Gloucester Pottery School, and the Ottawa School of Art Orléans Campus Gallery"
487,Sibbald Point Provincial Park,Sutton,York Region,Central,Museum,Local history,"Features the Sibbald Memorial Museum, a historic house and local history museum"
488,Sifton-Cook Heritage Centre,Cobourg,Northumberland County,Eastern,Museum,"Local history, Historic Bldg.",Cobourg history told in annually changing exhibits and outdoor model railway - Victoria Day weekend to Thanksgiving
489,Simcoe County Museum,Minesing,Simcoe County,Central,Museum,Local history,"local history and culture, church, schoolhouse, railway station, farm equipment"
490,Sioux Lookout Museum,Sioux Lookout,Kenora District,Northwestern,Museum,Local history,located on the second floor of the Sioux Lookout Heritage Railway Station
491,Sir John Johnson Manor House,Williamstown,"Stormont, Dundas and Glengarry",Eastern,Museum,Historic house,"late 18th century home of Sir John Johnson, 2nd Baronet"
492,Ska-Nah-Doht Village and Museum,Mount Brydges,Middlesex County,Southwestern,Museum,First Nations,"recreated longhouse village of 1,000 years ago and museum with archaeological artifacts"
493,Sky Harbour Gallery,Goderich,Huron,Southwestern,Museum,Aviation,"located at Goderich Airport, airport history in WW II, county aviation history"
494,Society for the Preservation of Canada's Nuclear Heritage,Deep River,Renfrew County,Eastern,Museum,Nuclear Science and Technology,"Canadian nuclear history from Ernest Rutherford to the present, including: research and development; CANDU; medical and isotope applications; mining; radioactive waste management; and accelerators amongst others."
495,Sombra Museum Cultural Centre,Sombra,Lambton County,Southwestern,Museum,Local history,includes Victorian period home and log cabin
496,South Grey Museum,Flesherton,Grey County,Southwestern,Museum,Local history,Local history
497,South of 60 Arts' Centre,Barry's Bay,Renfrew County,Eastern,Museum,Art,Art
498,Southwestern Ontario Heritage Village,Essex,Essex County,Southwestern,Museum,Open air,"19th-century and early 20th-century buildings including log cabins, a general store, barber/cobbler shop, church, school, and a transportation museum with antique and classic cars, wagons, trucks, motorcycles, and other memorabilia"
499,Sovereign House,Bronte,Halton Region,Golden Horseshoe,Museum,Historic house,"operated by the Bronte Historical Society, 19th century period house"
500,Spencerville Mill,Spencerville,Leeds and Grenville,Eastern,Museum,Mill,stone grist mill
501,Spruce Lane Farmhouse,Oakville,Halton Region,Golden Horseshoe,Museum,Historic house,"turn-of-the-20th-century farmhouse with costumed interpreters, located in Bronte Creek Provincial Park, which also includes a nature centre and children's farm"
502,St. Catharines Museum,St. Catharines,Niagara Region,Golden Horseshoe,Museum,Multiple,"city's history, history and impact of the Welland Canal, Ontario Lacrosse Hall of Fame and Museum, the Underground Railroad and African Canadian heritage"
503,St. Edwards Township Museum,Tobermory,Bruce County,Southwestern,Museum,History,"local and maritime history, also late 19th century log house open by request"
504,St. Jacobs Mill,St. Jacobs,Waterloo Region,Golden Horseshoe,Museum,Multiple,"includes the Maple Syrup Museum, St. Jacobs Quilt Gallery, electricity exhibit, Home Hardware exhibit, model train exhibit"
505,St. Joseph Island Museum,St. Joseph Island,Algoma District,Northeastern,Museum,Open air,"complex includes a log cabin, church, school, barn, store"
506,St. Joseph Museum,Zurich,Huron,Southwestern,Museum,Local history,operated by the St. Joseph Historical Society
507,St. Marys Museum,St. Marys,Perth County,Southwestern,Museum,Local history,Local history
508,St. Thomas-Elgin Public Art Centre,St. Thomas,Elgin County,Southwestern,Museum,Art,Art
509,Stanhope Heritage Discovery Museum,Stanhope,Haliburton County,Central,Museum,Local history,includes log chute
510,Stephen Leacock Museum,Orillia,Simcoe County,Central,Museum,Historic house,"summer home of author and humorist Stephen Leacock, includes exhibits on his life and writings, and a gallery of Canadian writers and art"
511,Stonechurch Museum of Art,Quinte West,Hastings County,Central,Museum,Art,works by Dennis Noble
512,Stones 'n Bones Museum,Sarnia,Lambton County,Southwestern,Museum,Natural history,"fossils, minerals, gemstones, artifacts, shells, butterflies, insects, antlers, horns, dinosaurs"
513,Stratford Perth Museum,Stratford,Perth County,Southwestern,Museum,Local history,Local history
514,Sturgeon River House Museum,Sturgeon Falls,Nipissing District,Northeastern,Museum,Local history,"Includes fur trading, pioneers, blacksmith shop and ice house"
515,Swords and Ploughshares Museum,Kars,Ottawa,Eastern,Museum,Military,"Focus is the Citizen Soldier (the Militiaman and Reservist) at peace and at war, features many military trucks and vehicles"
516,Sudbury Region Police Museum,Sudbury,Greater Sudbury,Northeastern,Museum,Law enforcement,Law enforcement
517,Teeterville Pioneer Museum,Teeterville,Norfolk County,Southwestern,Museum,History,"complex includes a log house, smoke house, wayside church, drive barn and early Windham and area artifacts"
518,Thames Art Gallery,Chatham-Kent,Chatham-Kent,Southwestern,Museum,Art,Art
519,Thames Valley Museum School,Norwich,Oxford,Southwestern,Museum,Education,early 20th century rural schoolhouse
520,Thamesville Old Town Hall Museum,Thamesville,Chatham-Kent,Southwestern,Museum,Local history,Local history
521,Thelma Miles Historical Museum,Matheson,Cochrane District,Northeastern,Museum,Local history,Local history
522,THEMUSEUM,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Multiple,"Formerly the Waterloo Regional Children's Museum, interactive exhibits for children, changing exhibits of culture, art, history, science"
523,"Thomas House (Oakville, Ontario)",Oakville,Halton Region,Golden Horseshoe,Museum,Historic house,"1830-1840s period pioneer home, operated by the Oakville Historical Society"
524,Thorold & Beaverdams Historical Society Museum,Thorold,Niagara Region,Golden Horseshoe,Museum,Local history,Local history
525,Thunder Bay Art Gallery,Thunder Bay,Thunder Bay District,Northwestern,Museum,Art,Contemporary First Nations art
526,Thunder Bay Historical Museum,Thunder Bay,Thunder Bay District,Northwestern,Museum,Local history,Local history
527,Thunder Bay Military Museum,Thunder Bay,Thunder Bay District,Northwestern,Museum,Military,"area's military history, includes regimental memorabilia of The Lake Superior Scottish Regiment"
528,Timber Village Museum,Blind River,Algoma District,Northeastern,Museum,Forestry,"lumbering and logging tools, artifacts and equipment"
529,Timmins Museum: National Exhibition Centre,Timmins,Cochrane District,Northeastern,Museum,Multiple,"local history and art, recreated 1930's miner's home"
530,Timmins Underground Gold Mine Tour,Timmins,Cochrane District,Northeastern,Museum,Mining,tour and artifacts
531,Tom Thomson Art Gallery,Owen Sound,Grey County,Southwestern,Museum,Art,features a large collection of memorabilia and works from Tom Thomson and the Group of Seven
532,Treasure Chest Museum,Paisley,Bruce County,Southwestern,Museum,History,"antiques and collectibles, tools, household items, lamps, machinery, glassware, crockery, furniture"
533,Tree Museum,Gravenhurst,Muskoka,Central,Museum,Art,outdoor sculpture gallery
534,True North Gallery,Waterdown,Wentworth County,Southern,Museum,Art,"[1], features original art and limited edition prints by artist-musicians including David Bowie, Buffy Sainte-Marie, and many others. Located in and operated by the owners of True North Records"
535,Tweed and Area Heritage Centre,Tweed,Hastings County,Central,Museum,Local history,Local history
536,Uncle Tom's Cabin Historic Site,Dresden,Chatham-Kent,Southwestern,Museum,Open air,"Complex includes home of Josiah Henson, former U.S. slave whose life story was the inspiration for the novel Uncle Tom's Cabin"
537,Union Gallery,Kingston,Frontenac County,Eastern,Museum,Art,"part of Queen's University, contemporary art"
538,United Empire Loyalist Heritage Centre,Adolphustown,Lennox and Addington County,Eastern,Museum,History,history of the United Empire Loyalists settlers in the late 18th century
539,University of Waterloo Art Galleries,Waterloo,Waterloo Region,Golden Horseshoe,Museum,Art,part of the University of Waterloo
540,Upper Canada Village,Morrisburg,"Stormont, Dundas and Glengarry",Eastern,Museum,Living,1860s period village with over 40 buildings
541,Uxbridge Historical Centre,Uxbridge,Durham Region,Central,Museum,Local history,Local history
542,Vankleek Hill Museum,Vankleek Hill,Prescott and Russell,Eastern,Museum,Local history,operated by the Vankleek Hill & District Historical Society
543,Visual Arts Centre of Clarington,Bowmanville,Durham Region,Central,Museum,Art,Art
544,Waba Cottage Museum and Gardens,White Lake,Renfrew County,Eastern,Museum,Historic house,also historic log church and log schoolhouse
545,Wallaceburg and District Museum,Wallaceburg,Chatham-Kent,Southwestern,Museum,Local history,Local history
546,Waterford Heritage & Agricultural Museum,Waterford,Norfolk County,Southwestern,Museum,Local history,social history of Waterford and Old Townsend as well as Norfolk County agriculture
547,Waterloo County Gaol and Governor's House,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Historic site,former jail and governor's house with historic and archaeological exhibits in the lobby
548,Waterloo Region Museum,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Local history,"Regional history and culture including First Nation's peoples, European settlement, manufacturing heyday, high tech sector, entrance to Doon Heritage Village"
549,Watson's Mill,Manotick,Ottawa,Eastern,Museum,Mill,19th century flour grist mill
550,Welland Historical Museum,Welland,Niagara Region,Golden Horseshoe,Museum,Local history,located in a former Carnie library
551,Wellands Canal Centre,St. Catharines,Niagara Region,Golden Horseshoe,Museum,Transportation,"construction, engineering, operations and impact of the Welland Canal"
552,Wellington County Museum and Archives,Fergus,Wellington County,Southwestern,Museum,Multiple,"local history, decorative arts and art"
553,Wellington Heritage Museum,Wellington,Prince Edward County,Central,Museum,Local history,Local history
554,West Parry Sound District Museum,Parry Sound,Parry Sound District,Northeastern,Museum,Local history,"also known as Museum on Tower Hill, local history, themes include trapping, First Nations, shipping, logging, agriculture and cottaging, features a fire tower to climb"
555,Westfield Heritage Village,Rockton,Hamilton,Golden Horseshoe,Museum,Open air,Over 30 historic buildings on a 3.4 square kilometres (840 acres) site
556,Whitchurch-Stouffville Museum,Vandorf,York Region,Central,Museum,History,"complex includes an 1880s period farmhouse, 19th century schoolhouse, log cabin, and local history museum"
557,White Water Gallery,North Bay,Nipissing District,Northeastern,Museum,Art,contemporary visual art
558,Whitehern Historic House and Garden,Hamilton,Hamilton,Golden Horseshoe,Museum,Historic house,"mid-19th century urban estate with elements from the Georgian, Victorian and Edwardian periods"
559,Wilberforce Red Cross Outpost & Historic House,Wilberforce,Haliburton County,Central,Museum,Medical,site of the first Red Cross Outpost Hospital in Ontario
560,Willoughby Historical Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Local history,history of the community of Willoughby
561,Wilno Heritage Park,Wilno,Renfrew County,Eastern,Museum,Ethnic,"include the Polish Kashub Heritage Museum & Skansen, Kashubian and Polish heritage"
562,Wilson MacDonald Memorial School Museum,Selkirk,Haldimand County,Golden Horseshoe,Museum,Education,"1925 period one room schoolhouse, exhibits about poet Wilson MacDonald"
563,Windsor's Community Museum,Windsor,Essex County,Southwestern,Museum,Local history,Local history
564,Windsor Wood Carving Museum,Windsor,Essex County,Southwestern,Museum,Art,carved wood art
565,Woodchester Villa,Bracebridge,Muskoka,Central,Museum,Historic house,Late 19th century octagon house with local history exhibits
566,Woodland Cultural Centre,Brantford,County of Brant,Golden Horseshoe,Museum,First Nations,"history, culture and art of the Anishinaabe and Onkwehon:we"
567,Woodside National Historic Site,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Historic house,1890s Victorian childhood home of Prime Minister William Lyon Mackenzie King
568,Woodstock Art Gallery,Woodstock,Oxford,Southwestern,Museum,History,changing exhibits and permanent display of works by Florence Carlyle
569,Woodstock Museum,Woodstock,Oxford,Southwestern,Museum,Local history,Local history
570,Woodstock Peace Lighthouse,Woodstock,Oxford,Southwestern,Museum,Religious,"Christian icon art, operated by the Studite Fathers"
571,Workers Arts & Heritage Centre,Hamilton,Hamilton,Golden Horseshoe,Museum,Multiple,"art, culture and heritage of working people in Canada"
572,Workers' History Museum,Ottawa,Ottawa,Eastern,Museum,History,"workers’ history and heritage, changes surrounding working culture, working people, and the workplace in all sectors of the economy in the National Capital Region and Ottawa Valley"
573,Youngtown Rock N Roll Museum,Omemee,Kawartha Lakes,Central,Museum,Music,"celebration of music from the '50s, '60s and '70s, with large collection of Neil Young and Beatles memorabilia"
